DATE,IZ3344
2005-12-01,100.0
2006-01-01,99.6
2006-02-01,99.4
2006-03-01,99.5
2006-04-01,98.8
2006-05-01,98.8
2006-06-01,99.0
2006-07-01,99.1
2006-08-01,99.0
2006-09-01,99.2
2006-10-01,99.6
2006-11-01,99.8
2006-12-01,99.4
2007-01-01,99.3
2007-02-01,98.1
2007-03-01,97.3
2007-04-01,95.3
2007-05-01,95.0
2007-06-01,94.4
2007-07-01,94.5
2007-08-01,94.8
2007-09-01,95.0
2007-10-01,95.0
2007-11-01,95.3
2007-12-01,94.8
2008-01-01,91.6
2008-02-01,91.5
2008-03-01,91.0
2008-04-01,91.1
2008-05-01,91.3
2008-06-01,90.6
2008-07-01,89.7
2008-08-01,90.3
2008-09-01,90.2
2008-10-01,89.9
2008-11-01,89.6
2008-12-01,89.4
2009-01-01,88.1
2009-02-01,87.7
2009-03-01,87.7
2009-04-01,88.2
2009-05-01,88.2
2009-06-01,87.8
2009-07-01,87.4
2009-08-01,87.6
2009-09-01,87.7
2009-10-01,87.5
2009-11-01,87.8
2009-12-01,87.3
2010-01-01,87.1
2010-02-01,87.1
2010-03-01,85.4
2010-04-01,85.3
2010-05-01,85.4
2010-06-01,84.6
2010-07-01,85.0
2010-08-01,85.4
2010-09-01,86.1
2010-10-01,85.8
2010-11-01,85.7
2010-12-01,85.3
2011-01-01,85.2
2011-02-01,85.3
2011-03-01,84.7
2011-04-01,84.5
2011-05-01,84.4
2011-06-01,85.5
2011-07-01,84.6
2011-08-01,84.3
2011-09-01,83.8
2011-10-01,83.3
2011-11-01,83.1
2011-12-01,84.0
2012-01-01,84.0
2012-02-01,83.8
2012-03-01,83.7
2012-04-01,82.8
2012-05-01,82.7
2012-06-01,82.3
2012-07-01,82.2
2012-08-01,82.0
2012-09-01,82.3
2012-10-01,81.3
2012-11-01,81.1
2012-12-01,81.4
2013-01-01,81.3
2013-02-01,81.0
2013-03-01,80.8
2013-04-01,80.4
2013-05-01,80.7
2013-06-01,80.9
2013-07-01,80.9
2013-08-01,81.0
2013-09-01,81.1
2013-10-01,81.2
2013-11-01,81.7
2013-12-01,81.8
2014-01-01,81.5
2014-02-01,81.2
2014-03-01,81.4
2014-04-01,81.7
2014-05-01,81.7
2014-06-01,81.8
2014-07-01,81.7
2014-08-01,81.1
2014-09-01,81.1
2014-10-01,81.1
2014-11-01,80.7
2014-12-01,80.7
2015-01-01,80.5
2015-02-01,80.3
2015-03-01,80.2
2015-04-01,80.1
2015-05-01,79.9
2015-06-01,79.6
2015-07-01,79.2
2015-08-01,79.1
2015-09-01,78.6
2015-10-01,78.4
2015-11-01,78.3
2015-12-01,78.1
2016-01-01,78.0
2016-02-01,77.8
2016-03-01,77.7
2016-04-01,77.3
2016-05-01,77.1
2016-06-01,76.8
2016-07-01,76.6
2016-08-01,76.6
2016-09-01,76.5
2016-10-01,76.3
2016-11-01,76.3
2016-12-01,76.3
2017-01-01,75.9
2017-02-01,76.0
2017-03-01,76.4
2017-04-01,76.9
2017-05-01,77.0
2017-06-01,76.9
2017-07-01,77.5
2017-08-01,77.7
2017-09-01,77.7
2017-10-01,78.0
2017-11-01,78.0
2017-12-01,78.2
2018-01-01,78.2
2018-02-01,78.4
2018-03-01,78.7
2018-04-01,79.0
2018-05-01,79.2
2018-06-01,79.0
2018-07-01,79.0
2018-08-01,79.0
2018-09-01,79.6
2018-10-01,79.8
2018-11-01,79.8
2018-12-01,79.4
2019-01-01,79.4
2019-02-01,79.2
2019-03-01,78.9
2019-04-01,77.9
2019-05-01,77.4
2019-06-01,77.0
2019-07-01,76.0
2019-08-01,75.0
2019-09-01,74.6
2019-10-01,75.2
2019-11-01,75.0
2019-12-01,75.2
2020-01-01,74.7
2020-02-01,74.9
2020-03-01,75.1
2020-04-01,76.0
2020-05-01,76.3
2020-06-01,76.1
2020-07-01,75.8
2020-08-01,75.4
2020-09-01,75.2
2020-10-01,74.8
2020-11-01,74.5
2020-12-01,74.0
2021-01-01,74.4
2021-02-01,74.6
2021-03-01,74.8
2021-04-01,75.5
2021-05-01,75.9
2021-06-01,76.4
2021-07-01,76.7
2021-08-01,76.9
2021-09-01,77.2
2021-10-01,77.3
2021-11-01,77.5
2021-12-01,77.6
2022-01-01,78.3
2022-02-01,78.7
2022-03-01,79.2
