DATE,QCAN628BIS
1970-01-01,6.4146
1970-04-01,6.4146
1970-07-01,6.4675
1970-10-01,6.6526
1971-01-01,6.7056
1971-04-01,6.7849
1971-07-01,6.7585
1971-10-01,7.1023
1972-01-01,7.2566
1972-04-01,7.2566
1972-07-01,7.3624
1972-10-01,7.7063
1973-01-01,8.1031
1973-04-01,8.5263
1973-07-01,9.1612
1973-10-01,10.0297
1974-01-01,11.0877
1974-04-01,11.5859
1974-07-01,11.4801
1974-10-01,11.5066
1975-01-01,12.115
1975-04-01,12.5117
1975-07-01,12.9085
1975-10-01,13.4376
1976-01-01,14.0151
1976-04-01,14.1738
1976-07-01,14.2002
1976-10-01,14.7293
1977-01-01,14.8615
1977-04-01,14.9144
1977-07-01,14.8615
1977-10-01,15.2848
1978-01-01,15.2319
1978-04-01,15.6771
1978-07-01,15.6507
1978-10-01,16.3913
1979-01-01,16.9468
1979-04-01,17.3172
1979-07-01,17.2378
1979-10-01,18.0005
1980-01-01,18.265
1980-04-01,19.0057
1980-07-01,19.786
1980-10-01,21.0381
1981-01-01,21.8404
1981-04-01,22.008
1981-07-01,22.5679
1981-10-01,22.8897
1982-01-01,21.9595
1982-04-01,21.0381
1982-07-01,20.6413
1982-10-01,21.0866
1983-01-01,22.5282
1983-04-01,22.515
1983-07-01,22.2284
1983-10-01,22.3077
1984-01-01,22.2857
1984-04-01,22.4136
1984-07-01,21.9991
1984-10-01,22.2725
1985-01-01,22.7398
1985-04-01,23.2688
1985-07-01,23.3835
1985-10-01,24.3754
1986-01-01,25.795
1986-04-01,27.0955
1986-07-01,27.5584
1986-10-01,29.4586
1987-01-01,31.9406
1987-04-01,31.5571
1987-07-01,31.5571
1987-10-01,33.2853
1988-01-01,36.3669
1988-04-01,37.1428
1988-07-01,37.5132
1988-10-01,40.564
1989-01-01,44.6375
1989-04-01,40.7888
1989-07-01,41.7499
1989-10-01,44.1394
1990-01-01,43.3502
1990-04-01,40.4493
1990-07-01,40.6653
1990-10-01,40.9916
1991-01-01,42.9711
1991-04-01,44.4965
1991-07-01,41.9924
1991-10-01,42.4993
1992-01-01,43.2047
1992-04-01,43.5398
1992-07-01,43.6456
1992-10-01,44.589
1993-01-01,44.9726
1993-04-01,44.9726
1993-07-01,43.9807
1993-10-01,44.5229
1994-01-01,46.5244
1994-04-01,46.1365
1994-07-01,45.4091
1994-10-01,45.9513
1995-01-01,44.7125
1995-04-01,43.5751
1995-07-01,43.9939
1995-10-01,44.0644
1996-01-01,43.531
1996-04-01,44.4656
1996-07-01,43.8528
1996-10-01,44.1041
1997-01-01,44.6243
1997-04-01,45.7485
1997-07-01,44.9506
1997-10-01,44.8932
1998-01-01,44.4744
1998-04-01,44.858
1998-07-01,43.9674
1998-10-01,44.5935
1999-01-01,44.8183
1999-04-01,46.5729
1999-07-01,46.1673
1999-10-01,46.8375
2000-01-01,47.0667
2000-04-01,47.9837
2000-07-01,47.8823
2000-10-01,48.3849
2001-01-01,48.2526
2001-04-01,50.3247
2001-07-01,50.4658
2001-10-01,51.1271
2002-01-01,53.3711
2002-04-01,55.4696
2002-07-01,55.0023
2002-10-01,56.7481
2003-01-01,57.9693
2003-04-01,59.8782
2003-07-01,61.1479
2003-10-01,62.9422
2004-01-01,64.0091
2004-04-01,66.9673
2004-07-01,65.3934
2004-10-01,67.902
2005-01-01,70.3483
2005-04-01,72.1021
2005-07-01,73.449
2005-10-01,74.5049
2006-01-01,77.3353
2006-04-01,81.3327
2006-07-01,84.1526
2006-10-01,85.1304
2007-01-01,88.0033
2007-04-01,92.0088
2007-07-01,94.09
2007-10-01,94.3923
2008-01-01,95.8595
2008-04-01,97.2515
2008-07-01,96.0704
2008-10-01,93.1443
2009-01-01,90.5086
2009-04-01,92.0158
2009-07-01,94.4486
2009-10-01,96.4615
2010-01-01,99.3739
2010-04-01,101.0519
2010-07-01,100.0819
2010-10-01,99.4923
2011-01-01,101.2731
2011-04-01,103.688
2011-07-01,104.4401
2011-10-01,104.3395
2012-01-01,105.9586
2012-04-01,108.3547
2012-07-01,108.3935
2012-10-01,107.5865
2013-01-01,108.7915
2013-04-01,110.9775
2013-07-01,111.6266
2013-10-01,111.7958
2014-01-01,113.7824
2014-04-01,116.538
2014-07-01,117.4064
2014-10-01,117.5757
2015-01-01,119.2398
2015-04-01,122.194
2015-07-01,123.6957
2015-10-01,124.5371
2016-01-01,128.0945
2016-04-01,134.9362
2016-07-01,139.4717
2016-10-01,141.3252
2017-01-01,146.5331
2017-04-01,154.8274
2017-07-01,156.8242
2017-10-01,156.3634
2018-01-01,157.4386
2018-04-01,159.4353
2018-07-01,159.7425
2018-10-01,159.1281
2019-01-01,158.3602
2019-04-01,159.7425
2019-07-01,160.0497
2019-10-01,161.7393
2020-01-01,165.1185
2020-04-01,168.8049
2020-07-01,171.1088
2020-10-01,175.256
2021-01-01,179.5568
2021-04-01,191.5374
2021-07-01,195.6846
2021-10-01,199.6782
