DATE,BNKTTLD
1914-01-01,21256
1914-07-01,.
1915-01-01,21894
1915-07-01,.
1916-01-01,26219
1916-07-01,.
1917-01-01,30258
1917-07-01,.
1918-01-01,32373
1918-07-01,.
1919-01-01,37473
1919-07-01,.
1920-01-01,41282
1920-07-01,.
1921-01-01,38505
1921-07-01,.
1922-01-01,40814
1922-07-01,.
1923-01-01,43942
1923-07-01,45893
1924-01-01,47291
1924-07-01,50888
1925-01-01,51641
1925-07-01,54111
1926-01-01,53736
1926-07-01,54581
1927-01-01,55707
1927-07-01,57622
1928-01-01,57791
1928-07-01,61480
1929-01-01,57941
1929-07-01,59832
1930-01-01,59828
1930-07-01,58092
1931-01-01,56902
1931-07-01,49509
1932-01-01,45411
1932-07-01,46886
1933-01-01,41532
1933-07-01,42125
1934-01-01,46435
1934-07-01,49708
1935-01-01,51149
1935-07-01,55239
1936-01-01,57884
1936-07-01,60619
1937-01-01,59222
1937-07-01,58494
1938-01-01,58792
1938-07-01,61319
1939-01-01,64222
1939-07-01,68225
1940-01-01,70770
1940-07-01,75963
1941-01-01,78120
1941-07-01,81780
