DATE,X02LIL
1914-01-01,15263
1914-07-01,.
1915-01-01,15658
1915-07-01,.
1916-01-01,17980
1916-07-01,.
1917-01-01,20522
1917-07-01,.
1918-01-01,22374
1918-07-01,.
1919-01-01,24690
1919-07-01,.
1920-01-01,30732
1920-07-01,.
1921-01-01,28927
1921-07-01,.
1922-01-01,27627
1922-07-01,.
1923-01-01,30272
1923-07-01,30736
1924-01-01,31409
1924-07-01,32285
1925-01-01,33729
1925-07-01,35632
1926-01-01,36035
1926-07-01,36735
1927-01-01,37208
1927-07-01,38422
1928-01-01,39507
1928-07-01,40770
1929-01-01,41581
1929-07-01,41861
1930-01-01,40497
1930-07-01,38052
1931-01-01,35285
1931-07-01,31395
1932-01-01,27888
1932-07-01,26109
1933-01-01,22243
1933-07-01,22054
1934-01-01,21306
1934-07-01,20439
1935-01-01,20213
1935-07-01,20302
1936-01-01,20636
1936-07-01,21359
1937-01-01,22410
1937-07-01,22065
1938-01-01,20982
1938-07-01,21261
1939-01-01,21320
1939-07-01,22169
1940-01-01,22340
1940-07-01,23751
1941-01-01,25311
1941-07-01,26616
